Công ty,Kiểu dáng thân,Số lượng,Giá
alfa-romero,convertible,2,16500.0
alfa-romero,hatchback,1,16500.0
audi,sedan,3,17450.0
audi,wagon,1,18920.0
bmw,sedan,6,41315.0
chevrolet,hatchback,2,6295.0
chevrolet,sedan,1,6575.0
dodge,hatchback,2,6377.0
honda,sedan,2,12945.0
honda,wagon,1,7295.0
isuzu,sedan,3,6785.0
jaguar,sedan,3,36000.0
mazda,hatchback,4,11845.0
mazda,sedan,1,18344.0
mercedes-benz,hardtop,1,45400.0
mercedes-benz,sedan,2,40960.0
mercedes-benz,wagon,1,28248.0
mitsubishi,hatchback,2,6189.0
mitsubishi,sedan,2,8189.0
nissan,sedan,4,13499.0
nissan,wagon,1,7349.0
porsche,convertible,1,37028.0
porsche,hardtop,1,34028.0
porsche,hatchback,1,
toyota,hatchback,3,6488.0
toyota,wagon,4,15750.0
volkswagen,sedan,4,9995.0
volvo,sedan,1,12940.0
volvo,wagon,1,13415.0
